Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,TrackStatus
0 days 02:25:10.132000,ALO,0 days 00:01:16.619000,61,4,,,SOFT,14,1
0 days 02:26:25.279000,ALO,0 days 00:01:15.147000,62,4,,,SOFT,15,1
0 days 02:27:40.311000,ALO,0 days 00:01:15.032000,63,4,,,SOFT,16,1
0 days 02:28:55.282000,ALO,0 days 00:01:14.971000,64,4,,,SOFT,17,1
0 days 02:30:10.435000,ALO,0 days 00:01:15.153000,65,4,,,SOFT,18,1
0 days 02:31:25.547000,ALO,0 days 00:01:15.112000,66,4,,,SOFT,19,1
0 days 02:32:41.079000,ALO,0 days 00:01:15.532000,67,4,,,SOFT,20,1
0 days 02:33:56.354000,ALO,0 days 00:01:15.275000,68,4,,,SOFT,21,1
0 days 02:35:11.397000,ALO,0 days 00:01:15.043000,69,4,,,SOFT,22,1
0 days 02:36:27.583000,ALO,0 days 00:01:16.186000,70,4,,,SOFT,23,1
0 days 02:37:42.954000,ALO,0 days 00:01:15.371000,71,4,,,SOFT,24,1
0 days 02:38:58.459000,ALO,0 days 00:01:15.505000,72,4,,,SOFT,25,1
0 days 01:03:17.280000,LEC,0 days 00:01:20.348000,1,1,0 days 00:23:39.930000,,SOFT,4,1
0 days 01:04:33.834000,LEC,0 days 00:01:16.554000,2,1,,,SOFT,5,2
0 days 01:05:50.896000,LEC,0 days 00:01:17.062000,3,1,,,SOFT,6,1
0 days 01:07:07.324000,LEC,0 days 00:01:16.428000,4,1,,,SOFT,7,2
0 days 01:08:23.657000,LEC,0 days 00:01:16.333000,5,1,,,SOFT,8,1
0 days 01:09:39.870000,LEC,0 days 00:01:16.213000,6,1,,,SOFT,9,1
0 days 01:10:56.704000,LEC,0 days 00:01:16.834000,7,1,,,SOFT,10,1
0 days 01:12:13.235000,LEC,0 days 00:01:16.531000,8,1,,,SOFT,11,1
0 days 01:13:29.893000,LEC,0 days 00:01:16.658000,9,1,,,SOFT,12,1
0 days 01:14:46.493000,LEC,0 days 00:01:16.600000,10,1,,,SOFT,13,1
0 days 01:16:03.313000,LEC,0 days 00:01:16.820000,11,1,,,SOFT,14,1
0 days 01:17:20.264000,LEC,0 days 00:01:16.951000,12,1,,,SOFT,15,1
0 days 01:18:37.077000,LEC,0 days 00:01:16.813000,13,1,,,SOFT,16,1
0 days 01:19:53.990000,LEC,0 days 00:01:16.913000,14,1,,,SOFT,17,1
0 days 01:21:11.140000,LEC,0 days 00:01:17.150000,15,1,,,SOFT,18,1
0 days 01:22:28.553000,LEC,0 days 00:01:17.413000,16,1,,,SOFT,19,1
0 days 01:23:48.717000,LEC,0 days 00:01:20.164000,17,1,,0 days 01:23:47.063000,SOFT,20,1
0 days 01:25:23.369000,LEC,0 days 00:01:34.652000,18,2,0 days 01:24:06.273000,,MEDIUM,1,1
0 days 01:26:39.687000,LEC,0 days 00:01:16.318000,19,2,,,MEDIUM,2,1
0 days 01:27:55.957000,LEC,0 days 00:01:16.270000,20,2,,,MEDIUM,3,1
0 days 01:29:12.123000,LEC,0 days 00:01:16.166000,21,2,,,MEDIUM,4,1
0 days 01:30:28.426000,LEC,0 days 00:01:16.303000,22,2,,,MEDIUM,5,1
0 days 01:31:44.503000,LEC,0 days 00:01:16.077000,23,2,,,MEDIUM,6,1
0 days 01:33:00.608000,LEC,0 days 00:01:16.105000,24,2,,,MEDIUM,7,1
0 days 01:34:16.886000,LEC,0 days 00:01:16.278000,25,2,,,MEDIUM,8,1
0 days 01:35:33.081000,LEC,0 days 00:01:16.195000,26,2,,,MEDIUM,9,1
0 days 01:36:49.604000,LEC,0 days 00:01:16.523000,27,2,,,MEDIUM,10,1
0 days 01:38:06.224000,LEC,0 days 00:01:16.620000,28,2,,,MEDIUM,11,1
0 days 01:39:23.011000,LEC,0 days 00:01:16.787000,29,2,,,MEDIUM,12,1
0 days 01:40:39.634000,LEC,0 days 00:01:16.623000,30,2,,,MEDIUM,13,1
0 days 01:41:56.166000,LEC,0 days 00:01:16.532000,31,2,,,MEDIUM,14,1
0 days 01:43:12.651000,LEC,0 days 00:01:16.485000,32,2,,,MEDIUM,15,1
0 days 01:44:29.020000,LEC,0 days 00:01:16.369000,33,2,,,MEDIUM,16,1
0 days 01:45:45.471000,LEC,0 days 00:01:16.451000,34,2,,,MEDIUM,17,1
0 days 01:47:01.911000,LEC,0 days 00:01:16.440000,35,2,,,MEDIUM,18,1
0 days 01:48:18.434000,LEC,0 days 00:01:16.523000,36,2,,,MEDIUM,19,1
0 days 01:49:35.018000,LEC,0 days 00:01:16.584000,37,2,,,MEDIUM,20,1
0 days 01:50:51.556000,LEC,0 days 00:01:16.538000,38,2,,,MEDIUM,21,1
0 days 01:52:07.892000,LEC,0 days 00:01:16.336000,39,2,,,MEDIUM,22,1
0 days 01:53:24.289000,LEC,0 days 00:01:16.397000,40,2,,,MEDIUM,23,1
0 days 01:54:40.605000,LEC,0 days 00:01:16.316000,41,2,,,MEDIUM,24,1
0 days 01:55:56.985000,LEC,0 days 00:01:16.380000,42,2,,,MEDIUM,25,1
0 days 01:57:13.359000,LEC,0 days 00:01:16.374000,43,2,,,MEDIUM,26,1
0 days 01:58:29.583000,LEC,0 days 00:01:16.224000,44,2,,,MEDIUM,27,2
0 days 01:59:50.692000,LEC,0 days 00:01:21.109000,45,2,,0 days 01:59:49.024000,MEDIUM,28,2
0 days 02:01:26.438000,LEC,0 days 00:01:35.746000,46,3,0 days 02:00:08.201000,,HARD,1,1
0 days 02:02:47.979000,LEC,0 days 00:01:21.541000,47,3,,,HARD,2,26
0 days 02:04:31.549000,LEC,0 days 00:01:43.570000,48,3,,,HARD,3,6
0 days 02:06:14.344000,LEC,0 days 00:01:42.795000,49,3,,,HARD,4,67
0 days 02:07:31.419000,LEC,0 days 00:01:17.075000,50,3,,,HARD,5,7
0 days 02:08:46.243000,LEC,0 days 00:01:14.824000,51,3,,,HARD,6,1
0 days 02:10:03.957000,LEC,0 days 00:01:17.714000,52,3,,,HARD,7,1
0 days 02:11:19.061000,LEC,0 days 00:01:15.104000,53,3,,,HARD,8,1
0 days 02:12:34.318000,LEC,0 days 00:01:15.257000,54,3,,,HARD,9,1
0 days 02:13:49.349000,LEC,0 days 00:01:15.031000,55,3,,,HARD,10,2
0 days 02:15:25.927000,LEC,0 days 00:01:36.578000,56,3,,0 days 02:15:24.298000,HARD,11,24
0 days 02:17:34.064000,LEC,0 days 00:02:08.137000,57,4,0 days 02:15:43.986000,0 days 02:17:32.417000,SOFT,4,4
0 days 02:19:47.970000,LEC,0 days 00:02:13.906000,58,5,0 days 02:17:46.553000,,SOFT,5,4
0 days 02:21:52.711000,LEC,0 days 00:02:04.741000,59,5,,,SOFT,6,4
0 days 02:23:52.079000,LEC,0 days 00:01:59.368000,60,5,,,SOFT,7,4
0 days 02:25:07.779000,LEC,0 days 00:01:15.700000,61,5,,,SOFT,8,1
0 days 02:26:22.192000,LEC,0 days 00:01:14.413000,62,5,,,SOFT,9,1
0 days 02:27:36.612000,LEC,0 days 00:01:14.420000,63,5,,,SOFT,10,1
0 days 02:28:51.209000,LEC,0 days 00:01:14.597000,64,5,,,SOFT,11,1
0 days 02:30:06.099000,LEC,0 days 00:01:14.890000,65,5,,,SOFT,12,1
0 days 02:31:20.819000,LEC,0 days 00:01:14.720000,66,5,,,SOFT,13,1
0 days 02:32:35.454000,LEC,0 days 00:01:14.635000,67,5,,,SOFT,14,1
0 days 02:33:49.909000,LEC,0 days 00:01:14.455000,68,5,,,SOFT,15,1
0 days 02:35:04.513000,LEC,0 days 00:01:14.604000,69,5,,,SOFT,16,1
0 days 02:36:19.279000,LEC,0 days 00:01:14.766000,70,5,,,SOFT,17,1
0 days 02:37:34.435000,LEC,0 days 00:01:15.156000,71,5,,,SOFT,18,1
0 days 02:38:50.634000,LEC,0 days 00:01:16.199000,72,5,,,SOFT,19,1
0 days 01:03:22.330000,STR,0 days 00:01:25.398000,1,1,0 days 00:22:24.827000,,SOFT,1,1
0 days 01:04:40.520000,STR,0 days 00:01:18.190000,2,1,,,SOFT,2,2
0 days 01:05:58.598000,STR,0 days 00:01:18.078000,3,1,,,SOFT,3,1
0 days 01:07:15.967000,STR,0 days 00:01:17.369000,4,1,,,SOFT,4,2
0 days 01:08:33.244000,STR,0 days 00:01:17.277000,5,1,,,SOFT,5,1
0 days 01:09:51.029000,STR,0 days 00:01:17.785000,6,1,,,SOFT,6,1
0 days 01:11:08.650000,STR,0 days 00:01:17.621000,7,1,,,SOFT,7,1
0 days 01:12:26.239000,STR,0 days 00:01:17.589000,8,1,,,SOFT,8,1
0 days 01:13:43.884000,STR,0 days 00:01:17.645000,9,1,,,SOFT,9,1
0 days 01:15:01.544000,STR,0 days 00:01:17.660000,10,1,,,SOFT,10,1
0 days 01:16:19.347000,STR,0 days 00:01:17.803000,11,1,,,SOFT,11,1
0 days 01:17:37.511000,STR,0 days 00:01:18.164000,12,1,,,SOFT,12,1
0 days 01:18:55.354000,STR,0 days 00:01:17.843000,13,1,,,SOFT,13,1
0 days 01:20:13.018000,STR,0 days 00:01:17.664000,14,1,,,SOFT,14,1
0 days 01:21:30.694000,STR,0 days 00:01:17.676000,15,1,,,SOFT,15,1
0 days 01:22:51.223000,STR,0 days 00:01:20.529000,16,1,,0 days 01:22:49.653000,SOFT,16,1
0 days 01:24:27.414000,STR,0 days 00:01:36.191000,17,2,0 days 01:23:09.886000,,MEDIUM,2,1
0 days 01:25:44.515000,STR,0 days 00:01:17.101000,18,2,,,MEDIUM,3,1
0 days 01:27:01.706000,STR,0 days 00:01:17.191000,19,2,,,MEDIUM,4,1
0 days 01:28:19.078000,STR,0 days 00:01:17.372000,20,2,,,MEDIUM,5,1
0 days 01:29:36.308000,STR,0 days 00:01:17.230000,21,2,,,MEDIUM,6,1
0 days 01:30:53.417000,STR,0 days 00:01:17.109000,22,2,,,MEDIUM,7,1
0 days 01:32:10.350000,STR,0 days 00:01:16.933000,23,2,,,MEDIUM,8,1
0 days 01:33:27.397000,STR,0 days 00:01:17.047000,24,2,,,MEDIUM,9,1
0 days 01:34:44.450000,STR,0 days 00:01:17.053000,25,2,,,MEDIUM,10,1
0 days 01:36:01.399000,STR,0 days 00:01:16.949000,26,2,,,MEDIUM,11,1
0 days 01:37:18.495000,STR,0 days 00:01:17.096000,27,2,,,MEDIUM,12,1
0 days 01:38:35.783000,STR,0 days 00:01:17.288000,28,2,,,MEDIUM,13,1
0 days 01:39:52.801000,STR,0 days 00:01:17.018000,29,2,,,MEDIUM,14,1
0 days 01:41:09.973000,STR,0 days 00:01:17.172000,30,2,,,MEDIUM,15,1
0 days 01:42:26.974000,STR,0 days 00:01:17.001000,31,2,,,MEDIUM,16,1
0 days 01:43:44.195000,STR,0 days 00:01:17.221000,32,2,,,MEDIUM,17,1
0 days 01:45:01.284000,STR,0 days 00:01:17.089000,33,2,,,MEDIUM,18,1
0 days 01:46:18.381000,STR,0 days 00:01:17.097000,34,2,,,MEDIUM,19,1
0 days 01:47:35.211000,STR,0 days 00:01:16.830000,35,2,,,MEDIUM,20,1
0 days 01:48:52.145000,STR,0 days 00:01:16.934000,36,2,,,MEDIUM,21,1
0 days 01:50:09.149000,STR,0 days 00:01:17.004000,37,2,,,MEDIUM,22,1
0 days 01:51:29.542000,STR,0 days 00:01:20.393000,38,2,,0 days 01:51:27.968000,MEDIUM,23,1
0 days 01:53:06.499000,STR,0 days 00:01:36.957000,39,3,0 days 01:51:48.178000,,HARD,2,1
0 days 01:54:22.372000,STR,0 days 00:01:15.873000,40,3,,,HARD,3,1
0 days 01:55:38.259000,STR,0 days 00:01:15.887000,41,3,,,HARD,4,1
0 days 01:56:54.041000,STR,0 days 00:01:15.782000,42,3,,,HARD,5,1
0 days 01:58:09.503000,STR,0 days 00:01:15.462000,43,3,,,HARD,6,2
0 days 01:59:25.922000,STR,0 days 00:01:16.419000,44,3,,,HARD,7,2
0 days 02:00:41.695000,STR,0 days 00:01:15.773000,45,3,,,HARD,8,1
0 days 02:01:57.771000,STR,0 days 00:01:16.076000,46,3,,,HARD,9,1
0 days 02:03:30.645000,STR,0 days 00:01:32.874000,47,3,,,HARD,10,26
0 days 02:05:17.826000,STR,0 days 00:01:47.181000,48,3,,,HARD,11,6
0 days 02:06:49.308000,STR,0 days 00:01:31.482000,49,3,,,HARD,12,67
0 days 02:08:05.405000,STR,0 days 00:01:16.097000,50,3,,,HARD,13,1
0 days 02:09:21.157000,STR,0 days 00:01:15.752000,51,3,,,HARD,14,1
0 days 02:10:37.094000,STR,0 days 00:01:15.937000,52,3,,,HARD,15,1
0 days 02:11:52.772000,STR,0 days 00:01:15.678000,53,3,,,HARD,16,1
0 days 02:13:08.590000,STR,0 days 00:01:15.818000,54,3,,,HARD,17,2
0 days 02:14:26.775000,STR,0 days 00:01:18.185000,55,3,,,HARD,18,24
0 days 02:16:14.286000,STR,0 days 00:01:47.511000,56,3,,0 days 02:16:12.716000,HARD,19,4
0 days 02:18:13.572000,STR,0 days 00:01:59.286000,57,4,0 days 02:16:31.842000,0 days 02:18:12.004000,SOFT,4,4
0 days 02:20:01.498000,STR,0 days 00:01:47.926000,58,5,0 days 02:18:26.141000,,SOFT,5,4
0 days 02:22:02.020000,STR,0 days 00:02:00.522000,59,5,,,SOFT,6,4
0 days 02:23:54.959000,STR,0 days 00:01:52.939000,60,5,,,SOFT,7,4
0 days 02:25:11.544000,STR,0 days 00:01:16.585000,61,5,,,SOFT,8,1
0 days 02:26:27.610000,STR,0 days 00:01:16.066000,62,5,,,SOFT,9,1
0 days 02:27:42.785000,STR,0 days 00:01:15.175000,63,5,,,SOFT,10,1
0 days 02:28:57.906000,STR,0 days 00:01:15.121000,64,5,,,SOFT,11,1
0 days 02:30:12.949000,STR,0 days 00:01:15.043000,65,5,,,SOFT,12,1
0 days 02:31:28.260000,STR,0 days 00:01:15.311000,66,5,,,SOFT,13,1
0 days 02:32:43.632000,STR,0 days 00:01:15.372000,67,5,,,SOFT,14,1
0 days 02:33:59.016000,STR,0 days 00:01:15.384000,68,5,,,SOFT,15,1
0 days 02:35:14.617000,STR,0 days 00:01:15.601000,69,5,,,SOFT,16,1
0 days 02:36:30.441000,STR,0 days 00:01:15.824000,70,5,,,SOFT,17,1
0 days 02:37:46.325000,STR,0 days 00:01:15.884000,71,5,,,SOFT,18,1
0 days 02:39:02.164000,STR,0 days 00:01:15.839000,72,5,,,SOFT,19,1
0 days 01:03:25.877000,MAG,0 days 00:01:28.945000,1,1,0 days 00:23:56.191000,,MEDIUM,1,1
0 days 01:04:51.676000,MAG,0 days 00:01:25.799000,2,1,,,MEDIUM,2,2
0 days 01:06:09.578000,MAG,0 days 00:01:17.902000,3,1,,,MEDIUM,3,1
0 days 01:07:27.524000,MAG,0 days 00:01:17.946000,4,1,,,MEDIUM,4,2
0 days 01:08:45.395000,MAG,0 days 00:01:17.871000,5,1,,,MEDIUM,5,1
0 days 01:10:03.282000,MAG,0 days 00:01:17.887000,6,1,,,MEDIUM,6,1
0 days 01:11:21.619000,MAG,0 days 00:01:18.337000,7,1,,,MEDIUM,7,1
0 days 01:12:40.709000,MAG,0 days 00:01:19.090000,8,1,,,MEDIUM,8,1
0 days 01:13:59.668000,MAG,0 days 00:01:18.959000,9,1,,,MEDIUM,9,1
0 days 01:15:18.853000,MAG,0 days 00:01:19.185000,10,1,,,MEDIUM,10,1
0 days 01:16:38.035000,MAG,0 days 00:01:19.182000,11,1,,,MEDIUM,11,1
0 days 01:17:57.013000,MAG,0 days 00:01:18.978000,12,1,,,MEDIUM,12,1
0 days 01:19:15.517000,MAG,0 days 00:01:18.504000,13,1,,,MEDIUM,13,1
0 days 01:20:36.955000,MAG,0 days 00:01:21.438000,14,1,,0 days 01:20:35.399000,MEDIUM,14,1
0 days 01:22:13.833000,MAG,0 days 00:01:36.878000,15,2,0 days 01:20:56.166000,,MEDIUM,1,1
0 days 01:23:30.932000,MAG,0 days 00:01:17.099000,16,2,,,MEDIUM,2,1
0 days 01:24:48.338000,MAG,0 days 00:01:17.406000,17,2,,,MEDIUM,3,1
0 days 01:26:05.981000,MAG,0 days 00:01:17.643000,18,2,,,MEDIUM,4,1
0 days 01:27:23.702000,MAG,0 days 00:01:17.721000,19,2,,,MEDIUM,5,1
0 days 01:28:41.442000,MAG,0 days 00:01:17.740000,20,2,,,MEDIUM,6,1
0 days 01:29:59.008000,MAG,0 days 00:01:17.566000,21,2,,,MEDIUM,7,1
0 days 01:31:17.129000,MAG,0 days 00:01:18.121000,22,2,,,MEDIUM,8,1
0 days 01:32:34.798000,MAG,0 days 00:01:17.669000,23,2,,,MEDIUM,9,1
0 days 01:33:52.669000,MAG,0 days 00:01:17.871000,24,2,,,MEDIUM,10,1
0 days 01:35:10.576000,MAG,0 days 00:01:17.907000,25,2,,,MEDIUM,11,1
0 days 01:36:28.579000,MAG,0 days 00:01:18.003000,26,2,,,MEDIUM,12,1
0 days 01:37:46.381000,MAG,0 days 00:01:17.802000,27,2,,,MEDIUM,13,1
0 days 01:39:04.207000,MAG,0 days 00:01:17.826000,28,2,,,MEDIUM,14,1
0 days 01:40:22.083000,MAG,0 days 00:01:17.876000,29,2,,,MEDIUM,15,1
0 days 01:41:39.955000,MAG,0 days 00:01:17.872000,30,2,,,MEDIUM,16,1
0 days 01:42:57.889000,MAG,0 days 00:01:17.934000,31,2,,,MEDIUM,17,1
0 days 01:44:15.821000,MAG,0 days 00:01:17.932000,32,2,,,MEDIUM,18,1
0 days 01:45:33.958000,MAG,0 days 00:01:18.137000,33,2,,,MEDIUM,19,1
0 days 01:46:55.017000,MAG,0 days 00:01:21.059000,34,2,,0 days 01:46:53.373000,MEDIUM,20,1
0 days 01:48:35.449000,MAG,0 days 00:01:40.432000,35,3,0 days 01:47:17.159000,,HARD,1,1
0 days 01:49:52.252000,MAG,0 days 00:01:16.803000,36,3,,,HARD,2,1
0 days 01:51:09.372000,MAG,0 days 00:01:17.120000,37,3,,,HARD,3,1
0 days 01:52:25.767000,MAG,0 days 00:01:16.395000,38,3,,,HARD,4,1
0 days 01:53:42.501000,MAG,0 days 00:01:16.734000,39,3,,,HARD,5,1
0 days 01:54:59.526000,MAG,0 days 00:01:17.025000,40,3,,,HARD,6,1
0 days 01:56:17.026000,MAG,0 days 00:01:17.500000,41,3,,,HARD,7,1
0 days 01:57:33.963000,MAG,0 days 00:01:16.937000,42,3,,,HARD,8,1
0 days 01:58:50.562000,MAG,0 days 00:01:16.599000,43,3,,,HARD,9,2
0 days 02:00:07.671000,MAG,0 days 00:01:17.109000,44,3,,,HARD,10,2
0 days 02:01:24.546000,MAG,0 days 00:01:16.875000,45,3,,,HARD,11,1
0 days 02:02:49.202000,MAG,0 days 00:01:24.656000,46,3,,,HARD,12,26
0 days 02:04:34.673000,MAG,0 days 00:01:45.471000,47,3,,0 days 02:04:33.016000,HARD,13,6
0 days 02:06:33.100000,MAG,0 days 00:01:58.427000,48,4,0 days 02:04:56.765000,,SOFT,4,67
0 days 02:07:48.563000,MAG,0 days 00:01:15.463000,49,4,,,SOFT,5,1
0 days 02:09:03.965000,MAG,0 days 00:01:15.402000,50,4,,,SOFT,6,1
0 days 02:10:19.429000,MAG,0 days 00:01:15.464000,51,4,,,SOFT,7,1
0 days 02:11:34.842000,MAG,0 days 00:01:15.413000,52,4,,,SOFT,8,1
0 days 02:12:50.211000,MAG,0 days 00:01:15.369000,53,4,,,SOFT,9,1
0 days 02:14:05.814000,MAG,0 days 00:01:15.603000,54,4,,,SOFT,10,2
0 days 02:15:46.523000,MAG,0 days 00:01:40.709000,55,4,,,SOFT,11,24
0 days 02:17:36.107000,MAG,0 days 00:01:49.584000,56,4,,0 days 02:17:34.460000,SOFT,12,4
0 days 02:19:49.375000,MAG,0 days 00:02:13.268000,57,5,0 days 02:17:48.827000,,SOFT,13,4
0 days 02:21:20.611000,MAG,0 days 00:01:31.236000,58,5,,,SOFT,14,4
0 days 02:22:36.720000,MAG,0 days 00:01:16.109000,59,5,,,SOFT,15,4
0 days 02:23:57.086000,MAG,0 days 00:01:20.366000,60,5,,,SOFT,16,4
0 days 02:25:14.942000,MAG,0 days 00:01:17.856000,61,5,,,SOFT,17,1
0 days 02:26:31.714000,MAG,0 days 00:01:16.772000,62,5,,,SOFT,18,1
0 days 02:27:48.064000,MAG,0 days 00:01:16.350000,63,5,,,SOFT,19,1
0 days 02:29:04.344000,MAG,0 days 00:01:16.280000,64,5,,,SOFT,20,1
0 days 02:30:20.640000,MAG,0 days 00:01:16.296000,65,5,,,SOFT,21,1
0 days 02:31:36.845000,MAG,0 days 00:01:16.205000,66,5,,,SOFT,22,1
0 days 02:32:53.520000,MAG,0 days 00:01:16.675000,67,5,,,SOFT,23,1
0 days 02:34:10.051000,MAG,0 days 00:01:16.531000,68,5,,,SOFT,24,1
0 days 02:35:26.533000,MAG,0 days 00:01:16.482000,69,5,,,SOFT,25,1
0 days 02:36:43.023000,MAG,0 days 00:01:16.490000,70,5,,,SOFT,26,1
0 days 02:37:59.749000,MAG,0 days 00:01:16.726000,71,5,,,SOFT,27,1
0 days 02:39:16.574000,MAG,0 days 00:01:16.825000,72,5,,,SOFT,28,1
0 days 01:03:24.161000,TSU,0 days 00:01:27.229000,1,1,0 days 00:23:41.178000,,SOFT,4,1
0 days 01:04:43.066000,TSU,0 days 00:01:18.905000,2,1,,,SOFT,5,2
0 days 01:06:01.233000,TSU,0 days 00:01:18.167000,3,1,,,SOFT,6,1
0 days 01:07:19.321000,TSU,0 days 00:01:18.088000,4,1,,,SOFT,7,2
0 days 01:08:37.008000,TSU,0 days 00:01:17.687000,5,1,,,SOFT,8,1
0 days 01:09:55.063000,TSU,0 days 00:01:18.055000,6,1,,,SOFT,9,1
0 days 01:11:13.305000,TSU,0 days 00:01:18.242000,7,1,,,SOFT,10,1
0 days 01:12:31.392000,TSU,0 days 00:01:18.087000,8,1,,,SOFT,11,1
0 days 01:13:49.797000,TSU,0 days 00:01:18.405000,9,1,,,SOFT,12,1
0 days 01:15:08.050000,TSU,0 days 00:01:18.253000,10,1,,,SOFT,13,1
0 days 01:16:26.421000,TSU,0 days 00:01:18.371000,11,1,,,SOFT,14,1
0 days 01:17:46.134000,TSU,0 days 00:01:19.713000,12,1,,,SOFT,15,1
0 days 01:19:07.336000,TSU,0 days 00:01:21.202000,13,1,,0 days 01:19:05.773000,SOFT,16,1
0 days 01:20:43.560000,TSU,0 days 00:01:36.224000,14,2,0 days 01:19:24.556000,,MEDIUM,2,1
0 days 01:22:00.880000,TSU,0 days 00:01:17.320000,15,2,,,MEDIUM,3,1
0 days 01:23:18.018000,TSU,0 days 00:01:17.138000,16,2,,,MEDIUM,4,1
0 days 01:24:35.354000,TSU,0 days 00:01:17.336000,17,2,,,MEDIUM,5,1
0 days 01:25:52.821000,TSU,0 days 00:01:17.467000,18,2,,,MEDIUM,6,1
0 days 01:27:10.473000,TSU,0 days 00:01:17.652000,19,2,,,MEDIUM,7,1
0 days 01:28:28.244000,TSU,0 days 00:01:17.771000,20,2,,,MEDIUM,8,1
0 days 01:29:45.726000,TSU,0 days 00:01:17.482000,21,2,,,MEDIUM,9,1
0 days 01:31:03.247000,TSU,0 days 00:01:17.521000,22,2,,,MEDIUM,10,1
0 days 01:32:20.571000,TSU,0 days 00:01:17.324000,23,2,,,MEDIUM,11,1
0 days 01:33:38.151000,TSU,0 days 00:01:17.580000,24,2,,,MEDIUM,12,1
0 days 01:34:55.563000,TSU,0 days 00:01:17.412000,25,2,,,MEDIUM,13,1
0 days 01:36:13.005000,TSU,0 days 00:01:17.442000,26,2,,,MEDIUM,14,1
0 days 01:37:30.708000,TSU,0 days 00:01:17.703000,27,2,,,MEDIUM,15,1
0 days 01:38:48.250000,TSU,0 days 00:01:17.542000,28,2,,,MEDIUM,16,1
0 days 01:40:05.732000,TSU,0 days 00:01:17.482000,29,2,,,MEDIUM,17,1
0 days 01:41:22.973000,TSU,0 days 00:01:17.241000,30,2,,,MEDIUM,18,1
0 days 01:42:40.332000,TSU,0 days 00:01:17.359000,31,2,,,MEDIUM,19,1
0 days 01:43:57.825000,TSU,0 days 00:01:17.493000,32,2,,,MEDIUM,20,1
0 days 01:45:15.351000,TSU,0 days 00:01:17.526000,33,2,,,MEDIUM,21,1
0 days 01:46:32.974000,TSU,0 days 00:01:17.623000,34,2,,,MEDIUM,22,1
0 days 01:47:50.735000,TSU,0 days 00:01:17.761000,35,2,,,MEDIUM,23,1
0 days 01:49:08.513000,TSU,0 days 00:01:17.778000,36,2,,,MEDIUM,24,1
0 days 01:50:26.234000,TSU,0 days 00:01:17.721000,37,2,,,MEDIUM,25,1
0 days 01:51:44.052000,TSU,0 days 00:01:17.818000,38,2,,,MEDIUM,26,1
0 days 01:53:01.414000,TSU,0 days 00:01:17.362000,39,2,,,MEDIUM,27,1
0 days 01:54:18.876000,TSU,0 days 00:01:17.462000,40,2,,,MEDIUM,28,1
0 days 01:55:36.152000,TSU,0 days 00:01:17.276000,41,2,,,MEDIUM,29,1
0 days 01:56:56.360000,TSU,0 days 00:01:20.208000,42,2,,0 days 01:56:54.657000,MEDIUM,30,1
0 days 02:00:24.706000,TSU,0 days 00:03:28.346000,43,3,0 days 01:57:14.028000,0 days 02:00:23.007000,HARD,2,2
0 days 01:03:25.990000,ALB,0 days 00:01:29.058000,1,1,0 days 00:24:07.335000,,MEDIUM,1,1
0 days 01:04:45.355000,ALB,0 days 00:01:19.365000,2,1,,,MEDIUM,2,2
0 days 01:06:03.593000,ALB,0 days 00:01:18.238000,3,1,,,MEDIUM,3,1
0 days 01:07:21.807000,ALB,0 days 00:01:18.214000,4,1,,,MEDIUM,4,2
0 days 01:08:39.891000,ALB,0 days 00:01:18.084000,5,1,,,MEDIUM,5,1
0 days 01:09:58.121000,ALB,0 days 00:01:18.230000,6,1,,,MEDIUM,6,1
