start_time,name,distance,moving_time,elevation,average_watts,max_speed
2/01/2021 19:35,Pedalheads 100 special,102,3.18,441,188,54.3
4/01/2021 19:10,Return to Hack's Samford Gentleman's ride,46.9,1.66,733.6,193,66.9
5/01/2021 19:30,Morning Ride,34.5,1.09,136,184,51.8
7/01/2021 19:21,Morning Ride,33.8,0.98,121,226,55
11/01/2021 19:11,Morning Ride,49.3,1.76,718,184,68.7
12/01/2021 19:30,Morning Ride,30.3,0.96,141,187,52.5
14/01/2021 19:20,Morning Ride,32.8,0.95,111,222,53.2
16/01/2021 19:34,Morning Ride,78.9,2.31,190,215,54
19/01/2021 19:29,Morning Ride,30.6,1.00,139,176,48.9
21/01/2021 19:20,Morning Ride,32.8,0.97,117,211,59.4
23/01/2021 19:34,Morning Ride,64.1,2.15,438,165,60.1
25/01/2021 19:34,Mount Gravatt with PedalHeads for Australia Day,100.4,3.97,675,132,58.6
4/02/2021 19:20,Morning Ride,32.8,0.99,122,213,57.2
6/02/2021 19:31,Morning Ride,64.4,2.33,743,184,73.4
8/02/2021 19:02,Morning Ride,47,1.64,818,210,65.8
9/02/2021 19:29,Morning Ride,30.6,0.98,138,179,49.6
11/02/2021 19:25,Morning Ride,32.7,0.91,120,249,54.3
14/02/2021 19:01,Samford Solo,49.7,1.89,813,168,63.7
16/02/2021 19:30,Morning Ride,30.5,0.96,149,190,51.1
20/02/2021 19:34,Morning Ride,64.1,1.86,323,223,60.4
21/02/2021 19:59,Ride to work day,21.8,0.89,119,111,60.8
22/02/2021 6:17,Home from work,21,0.86,177,133,70.2
25/02/2021 19:25,Morning Ride,32.8,0.91,92,252,55.8
27/02/2021 19:37,Morning Ride,64.8,2.03,290,188,52.5
1/03/2021 19:10,Morning Ride,46.9,1.59,667,201,66.6
4/03/2021 19:25,Morning Ride,32.7,0.91,128,254,55.8
9/03/2021 19:29,Morning Ride,31,0.97,140,200,50.7
11/03/2021 19:25,Morning Ride,32.8,0.92,118,258,56.5
13/03/2021 20:06,Morning Ride,78.6,2.31,180,219,57.6
18/03/2021 19:20,Morning Ride,32.7,0.97,110,211,57.9
21/03/2021 2:33,Mid-day Local Lumpy Loops,21.3,0.73,368,190,60.4
25/03/2021 19:25,Morning Ride,32.8,0.91,121,250,55.4
27/03/2021 20:04,Morning Ride,79.3,2.71,468,161,57.2
1/04/2021 19:20,A Good Friday Ride,32.8,1.01,98,179,49.6
8/04/2021 19:26,Morning Ride,29.4,0.85,111,221,52.2
10/04/2021 20:03,Morning Ride,61.6,1.76,218,225,55
12/04/2021 20:50,Commute to work,20.5,0.76,179,133,56.8
13/04/2021 6:23,Commute Home,19.8,0.76,226,157,56.1
14/04/2021 23:32,Morning Ride,16,0.61,116,129,51.8
15/04/2021 6:51,Afternoon Ride,15.8,0.61,136,139,46.4
15/04/2021 19:20,Morning Ride,32.8,0.97,115,214,53.6
20/04/2021 19:30,Morning Ride,30.5,0.97,142,185,49.6
20/04/2021 21:44,Morning Ride,16.2,0.59,121,141,50.4
21/04/2021 6:41,Afternoon Ride,15.8,0.61,145,137,43.2
21/04/2021 21:18,Morning Ride,15.8,0.61,129,129,52.2
22/04/2021 6:24,Afternoon Ride,15.7,0.60,139,136,43.9
22/04/2021 19:20,Morning Ride,32.9,1.00,122,197,57.2
24/04/2021 20:14,Morning Ride,69.9,2.13,474,205,60.4
26/04/2021 19:07,Morning Ride,47.1,1.64,775,194,66.6
27/04/2021 4:18,Afternoon Ride,15.2,0.58,133,143,42.5
27/04/2021 19:30,Morning Ride,30.7,0.97,145,189,55
29/04/2021 19:21,Morning Ride,32.8,0.99,121,198,61.9
1/05/2021 21:05,BVRT,91.3,4.85,529.1,158,41
3/05/2021 19:07,Hacks Samford Tuesday,47,1.65,770,194,68.7
4/05/2021 19:30,Morning Ride,30.5,1.00,143,170,52.9
6/05/2021 19:25,Morning Ride,32.8,0.93,132,245,58.6
6/05/2021 21:29,Morning Ride,15.5,0.56,115,140,50
7/05/2021 6:47,Afternoon Ride,14.9,0.58,125,134,41
8/05/2021 20:37,Morning Ride,78.8,2.32,189,212,55.4
13/05/2021 19:20,Morning Ride,33.6,1.02,112,201,51.8
15/05/2021 20:05,Morning Ride,62.3,1.93,518,193,60.1
16/05/2021 22:26,Morning Ride,15.4,0.60,122.8,123,46.8
17/05/2021 6:30,Afternoon Ride,15.3,0.62,145.6,127,54
17/05/2021 21:33,Morning Ride,20.4,0.74,193,139,56.5
18/05/2021 7:05,Riding in circles,24,0.94,248,146,57.9
18/05/2021 19:28,Morning Ride,30.4,0.97,142,181,54.3
20/05/2021 19:20,Morning Ride,32.8,0.96,118,217,53.2
22/05/2021 20:05,Morning Ride,80.3,2.52,368,193,59
24/05/2021 22:01,Morning Ride,20.3,0.77,193,133,65.5
25/05/2021 7:24,Afternoon Ride,19.9,0.78,235,150,55
25/05/2021 18:49,Morning Ride,61.3,2.08,416,164,57.9
27/05/2021 19:22,Morning Ride,32.9,0.93,117,235,52.5
29/05/2021 20:02,Mount Cootha,65.2,2.29,750,184,68.7
31/05/2021 22:13,Morning Ride,20.4,0.74,188,144,55
1/06/2021 6:11,Afternoon Ride,19.8,0.76,233,153,56.8
1/06/2021 19:29,Morning Ride,30.6,0.99,139,173,52.5
1/06/2021 21:39,Morning Ride,14.8,0.57,121,128,47.8
2/06/2021 4:56,Afternoon Ride,15.2,0.60,138,131,54.7
3/06/2021 19:20,Morning Ride,32.7,0.98,124,207,52.9
5/06/2021 20:06,Morning Ride,60.7,2.02,223,154,58.6
7/06/2021 19:04,Samford  Tuesday with a different Crew,26.7,1.06,352.6,137,67.6
7/06/2021 21:15,Morning Ride,20.5,0.72,195,151,54
8/06/2021 1:42,Lunch Ride,20.9,0.80,242,153,54.3
10/06/2021 19:20,Morning Ride,32.8,1.04,124,183,55.4
12/06/2021 20:01,Morning Ride,64.2,2.00,432,194,59.4
15/06/2021 19:30,Morning Ride,31.1,1.04,138,159,50.4
17/06/2021 19:22,Morning Ride,32.7,0.92,119,229,54.3
19/06/2021 22:16,BVRT - Blackbutt to Toogoolawah,58.3,2.30,272,90,57.2
21/06/2021 19:06,Morning Ride,25.5,0.93,327,157,66.6
21/06/2021 21:15,Morning Ride,20.6,0.72,193,155,62.2
22/06/2021 5:47,Afternoon Ride,19.9,0.74,257,162,55.8
26/06/2021 20:04,Morning Ride,78.1,2.35,192,203,54.3
28/06/2021 19:01,Samford Tuesday,26.9,1.08,338,134,60.8
3/07/2021 20:03,Morning Ride,78.8,2.33,198,208,54.7
5/07/2021 19:06,Morning Ride,26.9,0.94,376,170,63.7
5/07/2021 21:10,Morning Ride,20.4,0.73,191,145,59.7
6/07/2021 6:24,Afternoon Ride,20,0.79,241,146,55.4
6/07/2021 19:30,Morning Ride,30.5,1.01,145,162,52.2
10/07/2021 20:06,Morning Ride,64,2.04,517,180,60.4
12/07/2021 18:59,Morning Ride,26.7,1.05,348,141,67.6
13/07/2021 19:30,Morning Ride,24.7,0.79,134,176,50.7
15/07/2021 19:22,Morning Ride,32.8,0.93,122,229,53.6
17/07/2021 19:54,Morning Ride,84.9,2.84,382,166,57.6
19/07/2021 18:59,Morning Ride,26.8,0.92,355.4,178,66.9
19/07/2021 20:47,Morning Ride,15.5,0.55,110,139,56.1
20/07/2021 6:54,Afternoon Ride,15.3,0.59,143,140,46
20/07/2021 19:30,Morning Ride,30.5,1.03,135,159,50.4
22/07/2021 19:23,Morning Ride,32.8,0.95,127,225,59.4
25/07/2021 3:34,First Zwift Workout,16.9,0.50,92,198,49.3
25/07/2021 4:18,First Zwift group ride,19.8,0.53,26,148,43.9
25/07/2021 21:22,Morning Ride,20.3,0.73,190,140,60.1
26/07/2021 6:16,Afternoon Ride,19.9,0.76,250,153,56.5
26/07/2021 19:00,Morning Ride,27.6,0.93,364,179,66.6
26/07/2021 20:59,Morning Ride,15.4,0.56,121,134,52.5
27/07/2021 6:22,Afternoon Ride,10.9,0.44,101,130,44.3
27/07/2021 19:30,Morning Ride,30.4,1.05,146,157,54
29/07/2021 19:25,Morning Ride,32.7,0.94,131,227,53.6
30/07/2021 9:12,Baron's Pub Crawl p/b TBR (D),11.1,0.30,28,170,54.3
30/07/2021 9:45,TBR Burrito Race (D),18.3,0.54,190,227,65.1
31/07/2021 4:01,Cycle Nation Endurance Ride (D),51.6,1.36,76,166,47.8
1/08/2021 0:41,Ramp Test,10,0.37,184,184,81.3
1/08/2021 1:10,3R Volcano Circuit Flat Race - 4 Laps (18.9km/11.7mi 80m) (C),28,0.76,138,204,54
1/08/2021 22:33,RGT Cycling - Tempelhof Airport,32.6,1.01,83.5,158,46.8
3/08/2021 5:21,La Vuelta | Stage 6 - Tourmalet,18.8,1.81,1399,180,23
4/08/2021 6:00,Alpe d'Huez,12.8,1.40,0,,0
5/08/2021 9:36,Slowtwitch Indoors: Rise & Grind (C),25.6,0.71,82,212,50.7
6/08/2021 7:28,IRONMAN 70.3 Port Macquarie 40km,40.1,1.13,447,228,64.8
7/08/2021 4:24,The Sufferfest: # Full Frontal (4DP Test),30.4,1.00,0,192,44.6
7/08/2021 23:00,ZID Endurance Ride (D),101.6,2.86,371,168,59.4
11/08/2021 7:19,The Sufferfest: Nine Hammers,31.1,0.97,0,213,40.3
12/08/2021 7:00, Bicycling Australia Weekly Bunch Ride  (C),37.3,1.01,226,197,77.7
13/08/2021 10:45,The Sufferfest: A Very Dark Place,25.3,0.82,0,196,38.9
14/08/2021 4:01,Cycle Nation Endurance Ride (D),102.8,2.54,152,188,47.8
15/08/2021 11:00,La Vuelta 2021 | Stage 2 - Villafruela,30.2,0.76,196,260,63
15/08/2021 23:37,First outdoor ride since lockdown,20.4,0.72,174,140,54.7
16/08/2021 5:47,Afternoon Ride,20,0.79,244,143,57.2
17/08/2021 21:08,Extend Riverloop Long Pocket,34.7,0.99,247.2,216,60.8
19/08/2021 7:07,The Sufferfest: 14 Vise Grips,27.7,0.92,0,184,38.1
19/08/2021 19:50,AHDR Bacon Rolls (C),40.9,1.02,271,206,75.2
21/08/2021 20:05,Morning Ride,52.2,1.72,861,209,72.3
22/08/2021 23:03,Morning Ride,20.1,0.74,203,135,54.7
23/08/2021 6:23,Afternoon Ride,19.8,0.80,257,143,57.2
24/08/2021 19:30,Morning Ride,30.6,1.02,152,164,51.8
26/08/2021 19:26,Morning Ride,32.5,0.93,126,222,54
28/08/2021 20:04,Morning Ride,79.8,2.39,205,208,51.8
31/08/2021 19:30,Morning Ride,31.5,1.05,171,161,52.2
31/08/2021 21:43,Morning Ride,15.2,0.55,112,134,53.6
1/09/2021 6:32,Afternoon Ride,15.2,0.60,147.8,135,41.7
2/09/2021 19:30,Fast Friday 5:30 group ??,71.7,1.76,219,215,63.3
4/09/2021 20:06,Morning Ride,64.1,1.90,512,217,63.7
8/09/2021 22:23,Morning Ride,20.3,0.74,191,139,63.3
9/09/2021 6:30,Afternoon Ride,19.9,0.79,246,146,56.8
9/09/2021 19:25,Fast Friday,32.8,0.92,121,240,55.4
11/09/2021 20:06,Morning Ride,82.4,2.62,383,183,56.8
20/09/2021 19:31,Morning Ride,20.9,0.77,259,154,66.2
21/09/2021 19:30,Morning Ride,30.6,1.03,143,154,54
23/09/2021 19:25,PedalHeads Fast Friday,32.7,0.91,133,243,54.3
25/09/2021 20:05,Morning Ride,64,1.93,415,211,60.4
27/09/2021 19:08,Morning Ride,28.3,1.05,337,152,67.6
28/09/2021 19:30,Wet Wednesday,30.6,1.06,60,155,48.2
30/09/2021 19:50,AHDR Bacon Rolls (C),40.4,1.01,271,204,74.5
2/10/2021 19:33,Morning Ride,61.2,1.80,207,205,50.4
3/10/2021 20:05,Hacks Airport,72.9,2.40,209,158,52.5
5/10/2021 19:30,Morning Ride,30.5,1.05,153,155,49.3
7/10/2021 19:25,Fast Friday ,32.8,0.90,101,242,53.6
10/10/2021 5:02,KISS 100 Race Series (C),65.3,1.76,507,227,77
11/10/2021 20:40,3R London Loop Hilly Race - 2 Laps (29km/18mi 440m) (D),30.9,0.90,414,224,87.8
12/10/2021 20:00,Triathlon Australia Social Ride (C),38.3,0.96,153,203,59.4
14/10/2021 18:50,AHDR Bacon Rolls (C),40.5,1.00,184,202,61.2
16/10/2021 19:31,Morning Ride,51.8,1.81,761,176,66.2
19/10/2021 19:30,Morning Ride,30.5,0.92,136,192,52.8
21/10/2021 19:12,AHDR Bacon Rolls (C),2,0.05,0,240,49.6
21/10/2021 19:17,AHDR Bacon Rolls (C),22.1,0.59,210,222,64.6
23/10/2021 19:32,Morning Ride,79.1,2.30,189,211,52.3
26/10/2021 19:31,Morning Ride,30.5,1.02,130,165,47.3
28/10/2021 21:30,Zwift Academy Tri: Bike Workout 2 | Strength Endurance/Threshold Combo,24.5,1.01,133,186,44.5
30/10/2021 19:37,Morning Ride,64.1,2.10,530.4,172,61.5
2/11/2021 19:30,Dohles,30.6,1.01,136,166,45.6
4/11/2021 19:22,Morning Ride,32.6,0.96,124,207,55.9
6/11/2021 19:36,Morning Ride,60.8,1.73,226,230,55.2
8/11/2021 19:16,Morning Ride,30.7,1.13,352,149,67.6
9/11/2021 19:30,Morning Ride,30.5,1.07,78,146,50.5
13/11/2021 19:35,Morning Ride,64.4,2.24,722,179,73.4
15/11/2021 19:15,Morning Ride,31.6,1.22,402.1,153,70
15/11/2021 21:26,Morning Ride,15.7,0.59,124.5,137,51.3
16/11/2021 6:35,Afternoon Ride,7.7,0.33,79.1,128,56.9
16/11/2021 19:31,Morning Ride,30.3,0.99,167,171,46.8
18/11/2021 19:25,Morning Ride,32.8,0.90,123,252,54.7
18/11/2021 21:26,Morning Ride,15.5,0.59,118,126,48.5
19/11/2021 5:26,Afternoon Ride,15.4,0.63,145,128,51.4
20/11/2021 19:34,Morning Ride,80.4,2.55,343,187,64.3
24/11/2021 10:47,EVO CC Sprint Race Series  (C) 4th,24.4,0.62,155,246,67.3
25/11/2021 20:17,OH MY CRIT!! - The Double Race 2/2 (C) 5th,26.1,0.65,98,241,54.5
27/11/2021 19:33,Morning Ride,64,1.92,401,213,63.4
29/11/2021 19:30,ZZRC Happy Hour (C),37.3,1.01,312,201,84.1
30/11/2021 20:00,Telstra Connected Cycling Group Ride (C),28.5,0.76,133,194,53.8
2/12/2021 19:22,Morning Ride,32.9,0.94,112,223,54.1
4/12/2021 19:28,Morning Ride,62.7,2.15,358,150,58.5
14/12/2021 19:26,Morning Ride,30.3,1.09,171.6,135,51.4
16/12/2021 19:22,Morning Ride,32.8,0.96,117,217,56.4
18/12/2021 19:36,Morning Ride,78.4,2.46,182,179,57.1
20/12/2021 19:16,Morning Ride,29.8,1.17,351,134,63
21/12/2021 19:30,Morning Ride,30.4,0.98,136,176,52.8
23/12/2021 19:17,Morning Ride,100.7,2.72,5,241,47.9
25/12/2021 23:05,Zwift watching the Ashes,100.1,2.39,493,207,57
26/12/2021 22:30,Zwift - Dutch Diesel Cycling Starter Ride (C),60.3,1.52,89,177,46.1
27/12/2021 1:30,Zwift - OTR Tempo Group Ride,30.1,0.88,341,203,66.1
27/12/2021 19:00,Zwift - Rapha Festive 500 Group Ride Led By Ethan Chiang,60.1,1.61,323,185,77
28/12/2021 19:00,Morning Ride,86.9,2.96,472,158,58.3
30/12/2021 19:30,Hacks NYE,63.1,2.17,456,157,69.7
